Rank,Tactic,TID,Technique,Percentage,Reporter,Year,Type,"extracted_Source"
6,Execution,"T1059.004","Command and Scripting Interpreter: Unix Shell","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
2,Execution,"T1059.003","Command and Scripting Interpreter: Windows Command Shell","18.9","Red Canary",2024,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2024ThreatDetectionReport_RedCanary.pdf?version=0"
1,Execution,"T1059.003","Command and Scripting Interpreter: Windows Command Shell","33.3","Red Canary",2023,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf"
6,Execution,"T1059.003","Command and Scripting Interpreter: Windows Command Shell","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
4,Execution,"T1059.003","Command and Scripting Interpreter: Windows Command Shell","25.00",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-061a"
1,Execution,"T1059.003","Command and Scripting Interpreter: Windows Command Shell","28.1","Red Canary",2022,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2022_ThreatDetectionReport_RedCanary.pdf"
63,Execution,"T1059.003","Command and Scripting Interpreter: Windows Command Shell","11.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
4,Execution,"T1059.003","Command and Scripting Interpreter: Windows Command Shell","21.43",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
18,Execution,"T1059.003","Command and Scripting Interpreter: Windows Command Shell","15.4","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
4,Execution,"T1059.003","Command and Scripting Interpreter: Windows Command Shell","23.08",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
2,Execution,"T1059.003","Command and Scripting Interpreter: Windows Command Shell","31.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
7,Execution,"T1059.002","Command and Scripting Interpreter: Apple Script","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
1,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","22.1","Red Canary",2024,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2024ThreatDetectionReport_RedCanary.pdf?version=0"
2,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","36.4","Red Canary",2023,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf"
3,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","33.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
4,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","36.36",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
4,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","25.00",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
1,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell",35,"Red Canary",2022,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2022_ThreatDetectionReport_RedCanary.pdf"
8,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","29.4","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
2,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","35.71",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
3,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","40.8","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
5,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","15.38",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
4,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell",12,"Red Canary",2020,Private,"https://issa-centralmd.org/wp-content/uploads/2021-01-27-Red-Canary-Threat-Detection-Report.pdf"
3,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","28.63","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
1,Execution,"T1059.001","Command and Scripting Interpreter: PowerShell","37.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
1,Execution,T1059,"Command and Scripting Interpreter","24.1","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
1,Execution,T1059,"Command and Scripting Interpreter","50.9","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
5,Execution,T1059,"Command and Scripting Interpreter","27.27",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,Execution,T1059,"Command and Scripting Interpreter","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a"
1,Execution,T1059,"Command and Scripting Interpreter","53.4","Red Canary",2022,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2022_ThreatDetectionReport_RedCanary.pdf"
2,Execution,T1059,"Command and Scripting Interpreter","44.9","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
2,Execution,T1059,"Command and Scripting Interpreter","15.77","CTID Sightings",2022,Private,"https://web.mitre-engenuity.org/hubfs/Center%20for%20Threat%20Informed%20Defense/CTID-Sightings-Ecosystem-Report.pdf"
5,Execution,T1059,"Command and Scripting Interpreter","14.29",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
1,Execution,T1059,"Command and Scripting Interpreter",24,"Red Canary",2021,Private,"https://falksangdata.no/wp-content/uploads/2021/06/RedCanary-2021-Threat-Detection-Report.pdf"
2,Execution,T1059,"Command and Scripting Interpreter","51.3","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,Execution,T1059,"Command and Scripting Interpreter","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
7,Execution,T1059,"Command and Scripting Interpreter",5,"Red Canary",2020,Private,"https://issa-centralmd.org/wp-content/uploads/2021-01-27-Red-Canary-Threat-Detection-Report.pdf"
2,Execution,T1059,"Command and Scripting Interpreter","30.4","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
6,Execution,T1059,"Command and Scripting Interpreter","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
23,Discovery,T1057,"Process Discovery","18.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
21,Discovery,T1057,"Process Discovery","20.7","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
4,Discovery,T1057,"Process Discovery","36.36",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,Discovery,T1057,"Process Discovery","14.29",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
25,Discovery,T1057,"Process Discovery","18.9","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
4,Discovery,T1057,"Process Discovery","21.43",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
4,Discovery,T1057,"Process Discovery","23.08",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
45,Discovery,T1057,"Process Discovery","3.08","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
1,Discovery,T1057,"Process Discovery","37.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
5,"Credential Access
Collection","T1056.004","Input Capture: Credential API Hooking","15.38",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
74,"Credential Access
Collection","T1056.004","Input Capture: Credential API Hooking","0.44","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
5,"Credential Access
Collection","T1056.004","Input Capture: Credential API Hooking","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
365,"Credential Access
Collection","T1056.003","Input Capture: Web Portal Capture","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
329,"Credential Access
Collection","T1056.003","Input Capture: Web Portal Capture","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
315,"Credential Access
Collection","T1056.003","Input Capture: Web Portal Capture","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
144,"Credential Access
Collection","T1056.003","Input Capture: Web Portal Capture","0.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,"Credential Access
Collection","T1056.003","Input Capture: Web Portal Capture","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
269,"Credential Access
Collection","T1056.002","Input Capture: GUI Input Capture","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
259,"Credential Access
Collection","T1056.002","Input Capture: GUI Input Capture","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
254,"Credential Access
Collection","T1056.002","Input Capture: GUI Input Capture","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
87,"Credential Access
Collection","T1056.001","Input Capture: Keylogging","7.5","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
85,"Credential Access
Collection","T1056.001","Input Capture: Keylogging","7.5","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
84,"Credential Access
Collection","T1056.001","Input Capture: Keylogging","7.5","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
54,"Credential Access
Collection","T1056.001","Input Capture: Keylogging","6.6","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,"Credential Access
Collection","T1056.001","Input Capture: Keylogging","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Credential Access
Collection","T1056.001","Input Capture: Keylogging","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
82,"Credential Access
Collection","T1056.001","Input Capture: Keylogging","7.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Credential Access
Collection","T1056.001","Input Capture: Keylogging","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
51,"Credential Access
Collection","T1056.001","Input Capture: Keylogging","4.9","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
3,"Credential Access
Collection","T1056.001","Input Capture: Keylogging",25,CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
80,"Credential Access
Collection",T1056,"Input Capture","8.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
79,"Credential Access
Collection",T1056,"Input Capture","8.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
77,"Credential Access
Collection",T1056,"Input Capture","8.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
52,"Credential Access
Collection",T1056,"Input Capture","6.8","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
82,"Credential Access
Collection",T1056,"Input Capture","7.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
51,"Credential Access
Collection",T1056,"Input Capture","4.9","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Credential Access
Collection",T1056,"Input Capture","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
115,,"T1055.12","Process Injection: Process Hollowing","0.5","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
74,,"T1055.12","Process Injection: Process Hollowing","0.44","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
284,"Prvilege Escalation
Defense Evasion","T1055.012","Process Injection: Process Hollowing","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
118,"Prvilege Escalation
Defense Evasion","T1055.012","Process Injection: Process Hollowing","0.5","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,"Prvilege Escalation
Defense Evasion","T1055.012","Process Injection: Process Hollowing","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
210,"Prvilege Escalation
Defense Evasion","T1055.012","Process Injection: Process Hollowing","0.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Prvilege Escalation
Defense Evasion","T1055.012","Process Injection: Process Hollowing","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
5,"Prvilege Escalation
Defense Evasion","T1055.012","Process Injection: Process Hollowing","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
214,"Prvilege Escalation
Defense Evasion","T1055.004","Process Injection: Asynchronous Procedure Call","0.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
118,"Prvilege Escalation
Defense Evasion","T1055.004","Process Injection: Asynchronous Procedure Call","0.5","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,"Prvilege Escalation
Defense Evasion","T1055.004","Asynchronous Procedure Call","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
199,"Prvilege Escalation
Defense Evasion","T1055.004","Process Injection: Aynchronous Procedure Call","0.9","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
184,"Prvilege Escalation
Defense Evasion","T1055.003","Process Injection: Thread Execution Hijacking","1.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
87,"Prvilege Escalation
Defense Evasion","T1055.003","Process Injection: Threat Execution Hijacking","1.5","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,"Prvilege Escalation
Defense Evasion","T1055.003","Process Injection: Thread Execution Hijacking","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
149,"Prvilege Escalation
Defense Evasion","T1055.003","Process Injection: Thread Execution Hijacking","2.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
97,"Prvilege Escalation
Defense Evasion","T1055.003","Process Injection: Thread Execution Hijacking",1,"M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
283,"Prvilege Escalation
Defense Evasion","T1055.002","Process Injection: Portable Executable Injection","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
118,"Prvilege Escalation
Defense Evasion","T1055.002","Process Injection: Portable Executable Injection","0.5","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,"Prvilege Escalation
Defense Evasion","T1055.002","Portable Executable Injection","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Prvilege Escalation
Defense Evasion","T1055.002","Process Injection: Portable Executable Injection","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-165a"
311,"Prvilege Escalation
Defense Evasion","T1055.002","Process Injection: Portable Executable Injection","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Prvilege Escalation
Defense Evasion","T1055.002","Process Injection: Portable Executable Injection","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
232,"Prvilege Escalation
Defense Evasion","T1055.001","Process Injection: Dynamic-link Library Injection","0.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
110,"Prvilege Escalation
Defense Evasion","T1055.001","Process Injection: Dynamic-link Library Injection","0.7","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,"Prvilege Escalation
Defense Evasion","T1055.001","Process Injection: Dynamic-link Library Injection","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
8,"Prvilege Escalation
Defense Evasion","T1055.001","Process Injection: Dynamic-link Library Injection","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a"
187,"Prvilege Escalation
Defense Evasion","T1055.001","Process Injection: Dynamic-link Library Injection","1.1","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
4,"Prvilege Escalation
Defense Evasion","T1055.001","Process Injection: Dynamic-link Library Injection","23.08",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
6,"Prvilege Escalation
Defense Evasion","T1055.001","Process Injection: Dynamic-link Library Injection","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
17,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","25.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","13.8","Red Canary",2023,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf"
15,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","23.1","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
8,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a"
6,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","21.7","Red Canary",2022,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2022_ThreatDetectionReport_RedCanary.pdf"
9,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","28.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
9,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","1.75","CTID Sightings",2022,Private,"https://web.mitre-engenuity.org/hubfs/Center%20for%20Threat%20Informed%20Defense/CTID-Sightings-Ecosystem-Report.pdf"
5,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","14.29",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
6,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection",7,"Red Canary",2021,Private,"https://falksangdata.no/wp-content/uploads/2021/06/RedCanary-2021-Threat-Detection-Report.pdf"
13,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","18.1","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
1,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection",17,"Red Canary",2020,Private,"https://issa-centralmd.org/wp-content/uploads/2021-01-27-Red-Canary-Threat-Detection-Report.pdf"
52,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection","2.2","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
3,"Prvilege Escalation
Defense Evasion",T1055,"Process Injection",25,CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
41,"Execution
Persistence
Prvilege Escalation","T1053.005","Scheduled Task/Job: Scheduled Task","14.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
33,"Execution
Persistence
Prvilege Escalation","T1053.005","Scheduled Task/Job: Scheduled Task","12.8","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
5,"Execution
Persistence
Prvilege Escalation","T1053.005","Scheduled Task/Job: Scheduled Task","27.27",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
8,"Execution
Persistence
Prvilege Escalation","T1053.005","Scheduled Task/Job: Scheduled Task","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
7,"Execution
Persistence
Prvilege Escalation","T1053.005","Scheduled Task/Job: Scheduled Task","12.2","Red Canary",2022,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2022_ThreatDetectionReport_RedCanary.pdf"
47,"Execution
Persistence
Prvilege Escalation","T1053.005","Scheduled Task/Job: Scheduled Task","13.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
3,"Execution
Persistence
Prvilege Escalation","T1053.005","Scheduled Task/Job: Scheduled Task","28.57",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
41,"Execution
Persistence
Prvilege Escalation","T1053.005","Scheduled Task/Job: Scheduled Task","6.6","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
3,"Execution
Persistence
Prvilege Escalation","T1053.005","Scheduled Task/Job: Scheduled Task","30.77",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
5,"Execution
Persistence
Prvilege Escalation","T1053.005","Scheduled Task/Job: Scheduled Task","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
6,,"T1053.004","Scheduled Task/Job: Launchd","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
6,,"T1053.004","Scheduled Task/Job: Launchd","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
171,"Execution
Persistence
Prvilege Escalation","T1053.003","Scheduled Task/Job: Cron","1.7","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
167,"Execution
Persistence
Prvilege Escalation","T1053.003","Scheduled Task/Job: Cron","1.7","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
101,"Execution
Persistence
Prvilege Escalation","T1053.003","Scheduled Task/Job: Cron","0.9","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,"Execution
Persistence
Prvilege Escalation","T1053.003","Scheduled Task/Job: Cron","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
249,"Execution
Persistence
Prvilege Escalation","T1053.003","Scheduled Task/Job: Cron","0.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Execution
Persistence
Prvilege Escalation","T1053.003","Scheduled Task/Job: Cron","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
5,"Execution
Persistence
Prvilege Escalation","T1053.002","Scheduled Task/Job: At","27.27",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
311,,"T1053.001","Scheduled Task/Job: At","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
28,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job",18,"M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
27,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job",18,"M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
26,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job",18,"M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
23,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job","18.3","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job","14.7","Red Canary",2022,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2022_ThreatDetectionReport_RedCanary.pdf"
33,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job","15.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
1,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job","24.1","CTID Sightings",2022,Private,"https://web.mitre-engenuity.org/hubfs/Center%20for%20Threat%20Informed%20Defense/CTID-Sightings-Ecosystem-Report.pdf"
6,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
4,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job",16,"Red Canary",2021,Private,"https://falksangdata.no/wp-content/uploads/2021/06/RedCanary-2021-Threat-Detection-Report.pdf"
19,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job","15.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
2,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job",13,"Red Canary",2020,Private,"https://issa-centralmd.org/wp-content/uploads/2021-01-27-Red-Canary-Threat-Detection-Report.pdf"
12,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job","10.57","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
6,"Execution
Persistence
Prvilege Escalation",T1053,"Scheduled Task/Job","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
373,Exfiltration,"T1052.001","Exfiltration Over Physical Medium: Exfiltration over USB","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
372,Exfiltration,T1052,"Exfiltration Over Physical Medium","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
78,Discovery,T1049,"System Network Connections Discovery","8.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
46,Discovery,T1049,"System Network Connections Discovery","8.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,Discovery,T1049,"System Network Connections Discovery","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,Discovery,T1049,"System Network Connections Discovery","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a"
97,Discovery,T1049,"System Network Connections Discovery","6.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
5,Discovery,T1049,"System Network Connections Discovery","14.29",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
6,Discovery,T1049,"System Network Connections Discovery","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
69,Discovery,T1049,"System Network Connections Discovery","0.88","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
5,Discovery,T1049,"System Network Connections Discovery","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
5,Exfiltration,"T1048.003","Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
7,Exfiltration,"T1048.002","Exfiltration Over Alternative Protocol: Exfiltration Over Asymmetric Encrypted Non-C2 Protocol","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
2,Exfiltration,T1048,"Exfiltration Over Alternative Protocol","54.55",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,Exfiltration,T1048,"Exfiltration Over Alternative Protocol","14.29",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-061a"
311,Exfiltration,T1048,"Exfiltration Over Alternative Protocol","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,Exfiltration,T1048,"Exfiltration Over Alternative Protocol","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
